query,positive_passage
What does this passage describe?,"Frontend/Backend Protocol Int32 Number of protocol options not recognized by the server. Then, for protocol option not recognized by the server, there is the following: String The option name. NoData (B) Byte1('n') Identifies the message as a no-data indicator. Int32(4) Length of message contents in bytes, including self. NoticeResponse (B) Byte1('N') Identifies the message as a notice. Int32 Length of message contents in bytes, including self. The message body consists of one or more identified fields, followed by a zero byte as a termi- nator. Fields can appear in any order. For each field there is the following: Byte1 A code identifying the field type; if zero, this is the message terminator and no string follows. The presently defined field types are listed in Section 55.8 . Since more field types might be added in future, frontends should silently ignore fields of unrecognized type. String The field value. NotificationResponse (B) Byte1('A') Identifies the message as a notification response. Int32 Length of message contents in bytes, including self. Int32 The process ID of the notifying backend process. String The name of the channel that the notify has been raised on. String The “payload” string passed from the notifying process. 2372"
What does this passage describe?,"SQL Key Words Key Word PostgreSQL SQL:2023 SQL:2016 SQL-92 NUMERIC non-reserved (can- not be function or type)reserved reserved reserved OBJECT non-reserved non-reserved non-reserved OCCURRENCE non-reserved non-reserved OCCURRENCES_REGEX reserved reserved OCTETS non-reserved non-reserved OCTET_LENGTH reserved reserved reserved OF non-reserved reserved reserved reserved OFF non-reserved non-reserved non-reserved OFFSET reserved, requires ASreserved reserved OIDS non-reserved OLD non-reserved reserved reserved OMIT reserved reserved ON reserved, requires ASreserved reserved reserved ONE reserved reserved ONLY reserved reserved reserved reserved OPEN reserved reserved reserved OPERATOR non-reserved OPTION non-reserved non-reserved non-reserved reserved OPTIONS non-reserved non-reserved non-reserved OR reserved reserved reserved reserved ORDER reserved, requires ASreserved reserved reserved ORDERING non-reserved non-reserved ORDINALITY non-reserved non-reserved non-reserved OTHERS non-reserved non-reserved non-reserved OUT non-reserved (can- not be function or type)reserved reserved OUTER reserved (can be function or type)reserved reserved reserved OUTPUT non-reserved non-reserved reserved OVER non-reserved, re- quires ASreserved reserved OVERFLOW non-reserved non-reserved OVERLAPS reserved (can be function or type), requires ASreserved reserved reserved OVERLAY non-reserved (can- not be function or type)reserved reserved 2593"
What does this passage describe?,"DROP TEXT SEARCH PARSER DROP TEXT SEARCH PARSER — remove a text search parser Synopsis DROP TEXT SEARCH PARSER [ IF EXISTS ] name [ CASCADE | RESTRICT ] Description DROP TEXT SEARCH PARSER drops an existing text search parser. You must be a superuser to use this command. Parameters IF EXISTS Do not throw an error if the text search parser does not exist. A notice is issued in this case. name The name (optionally schema-qualified) of an existing text search parser. CASCADE Automatically drop objects that depend on the text search parser, and in turn all objects that depend on those objects (see Section 5.14 ). RESTRICT Refuse to drop the text search parser if any objects depend on it. This is the default. Examples Remove the text search parser my_parser : DROP TEXT SEARCH PARSER my_parser; This command will not succeed if there are any existing text search configurations that use the parser. Add CASCADE to drop such configurations along with the parser. Compatibility There is no DROP TEXT SEARCH PARSER statement in the SQL standard. See Also ALTER TEXT SEARCH PARSER , CREATE TEXT SEARCH PARSER 1889"
What does this passage describe?,"a bracket expression, the name of a character class enclosed in [: and :] stands for the list of all characters belonging to that class. A character class cannot be used as an endpoint of a range. The POSIX standard defines these character class names: alnum (letters and numeric digits), alpha (let- ters), blank (space and tab), cntrl (control characters), digit (numeric digits), graph (printable characters except space), lower (lower-case letters), print (printable characters including space), punct (punctuation), space (any white space), upper (upper-case letters), and xdigit (hexadec- imal digits). The behavior of these standard character classes is generally consistent across platforms for characters in the 7-bit ASCII set. Whether a given non-ASCII character is considered to belong to one of these classes depends on the collation that is used for the regular-expression function or oper- ator (see Section 24.2 ), or by default on the database's LC_CTYPE locale setting (see Section 24.1 ). The classification of non-ASCII characters can vary across platforms even in similarly-named locales. (But the C locale never considers any non-ASCII characters to belong to any of these classes.) In addition to these standard character classes, PostgreSQL defines the word character class, which is the same as alnum plus the underscore ( _) character, and the ascii character class, which contains exactly the 7-bit ASCII set. There are two special cases of bracket expressions: the bracket expressions [[:<:]] and [[:>:]] are constraints, matching empty strings at the beginning and end of a word respectively. A word"
What does this passage describe?,"pgbench Caution pgbench -i creates four tables pgbench_accounts , pgbench_branches , pg- bench_history , and pgbench_tellers , destroying any existing tables of these names. Be very careful to use another database if you have tables having these names! At the default “scale factor” of 1, the tables initially contain this many rows: table # of rows --------------------------------- pgbench_branches 1 pgbench_tellers 10 pgbench_accounts 100000 pgbench_history 0 You can (and, for most purposes, probably should) increase the number of rows by using the -s (scale factor) option. The -F (fillfactor) option might also be used at this point. Once you have done the necessary setup, you can run your benchmark with a command that doesn't include -i, that is pgbench [ options ] dbname In nearly all cases, you'll need some options to make a useful test. The most important options are - c (number of clients), -t (number of transactions), -T (time limit), and -f (specify a custom script file). See below for a full list. Options The following is divided into three subsections. Different options are used during database initializa- tion and while running benchmarks, but some options are useful in both cases. Initialization Options pgbench accepts the following command-line initialization arguments: dbname Specifies the name of the database to test in. If this is not specified, the environment variable PGDATABASE is used. If that is not set, the user name specified for the connection is used. -i --initialize Required to invoke initialization mode. -I init_steps --init-steps=init_steps Perform just a"
What does this passage describe?,it already exists 1371
What does this passage describe?,"a table. TRIGGER Allows creation of a trigger on a table, view, etc. CREATE For databases, allows new schemas and publications to be created within the database, and allows trusted extensions to be installed within the database. 76"
What does this passage describe?,"SET DEFAULT can take a column list to specify which columns to set. Normally, all columns of the foreign-key constraint are set; setting only a subset is useful in some special cases. Consider the following example: CREATE TABLE tenants ( tenant_id integer PRIMARY KEY ); CREATE TABLE users ( tenant_id integer REFERENCES tenants ON DELETE CASCADE, user_id integer NOT NULL, PRIMARY KEY (tenant_id, user_id) ); CREATE TABLE posts ( tenant_id integer REFERENCES tenants ON DELETE CASCADE, 70"
What does this passage describe?,"Functions and Operators When adding an interval value to (or subtracting an interval value from) a timestamp or timestamp with time zone value, the months, days, and microseconds fields of the inter- val value are handled in turn. First, a nonzero months field advances or decrements the date of the timestamp by the indicated number of months, keeping the day of month the same unless it would be past the end of the new month, in which case the last day of that month is used. (For example, March 31 plus 1 month becomes April 30, but March 31 plus 2 months becomes May 31.) Then the days field advances or decrements the date of the timestamp by the indicated number of days. In both these steps the local time of day is kept the same. Finally, if there is a nonzero microseconds field, it is added or subtracted literally. When doing arithmetic on a timestamp with time zone value in a time zone that recognizes DST, this means that adding or subtracting (say) interval '1 day' does not necessarily have the same result as adding or subtracting interval '24 hours' . For example, with the session time zone set to America/Denver : SELECT timestamp with time zone '2005-04-02 12:00:00-07' + interval '1 day'; Result: 2005-04-03 12:00:00-06 SELECT timestamp with time zone '2005-04-02 12:00:00-07' + interval '24 hours'; Result: 2005-04-03 13:00:00-06 This happens because an hour was skipped due to a change in daylight saving time at 2005-04-03 02:00:00 in"
What does this passage describe?,"Server Configuration vacuum_freeze_table_age (integer ) VACUUM performs an aggressive scan if the table's pg_class .relfrozenxid field has reached the age specified by this setting. An aggressive scan differs from a regular VACUUM in that it visits every page that might contain unfrozen XIDs or MXIDs, not just those that might contain dead tuples. The default is 150 million transactions. Although users can set this value anywhere from zero to two billion, VACUUM will silently limit the effective value to 95% of au- tovacuum_freeze_max_age , so that a periodic manual VACUUM has a chance to run before an anti-wraparound autovacuum is launched for the table. For more information see Section 25.1.5 . vacuum_freeze_min_age (integer ) Specifies the cutoff age (in transactions) that VACUUM should use to decide whether to trigger freezing of pages that have an older XID. The default is 50 million transactions. Although users can set this value anywhere from zero to one billion, VACUUM will silently limit the effective value to half the value of autovacuum_freeze_max_age , so that there is not an unreasonably short time between forced autovacuums. For more information see Section 25.1.5 . vacuum_failsafe_age (integer ) Specifies the maximum age (in transactions) that a table's pg_class .relfrozenxid field can attain before VACUUM takes extraordinary measures to avoid system-wide transaction ID wraparound failure. This is VACUUM's strategy of last resort. The failsafe typically triggers when an autovacuum to prevent transaction ID wraparound has already been running for some time, though it's possible for the failsafe to"
What does this passage describe?,"Database Roles Every connection to the database server is made using the name of some particular role, and this role determines the initial access privileges for commands issued in that connection. The role name to use for a particular database connection is indicated by the client that is initiating the connection request in an application-specific fashion. For example, the psql program uses the -U command line option to indicate the role to connect as. Many applications assume the name of the current operating system user by default (including createuser and psql). Therefore it is often convenient to maintain a naming correspondence between roles and operating system users. The set of database roles a given client connection can connect as is determined by the client authen- tication setup, as explained in Chapter 21 . (Thus, a client is not limited to connect as the role matching its operating system user, just as a person's login name need not match his or her real name.) Since the role identity determines the set of privileges available to a connected client, it is important to carefully configure privileges when setting up a multiuser environment. 22.2. Role Attributes A database role can have a number of attributes that define its privileges and interact with the client authentication system. login privilege Only roles that have the LOGIN attribute can be used as the initial role name for a database connection. A role with the LOGIN attribute can be considered the same as a “database user” ."
What does this passage describe?,"CREATE OPERATOR The obsolete options SORT1, SORT2, LTCMP, and GTCMP were formerly used to specify the names of sort operators associated with a merge-joinable operator. This is no longer necessary, since information about associated operators is found by looking at B-tree operator families instead. If one of these options is given, it is ignored except for implicitly setting MERGES true. Use DROP OPERATOR to delete user-defined operators from a database. Use ALTER OPERATOR to modify operators in a database. Examples The following command defines a new operator, area-equality, for the data type box: CREATE OPERATOR === ( LEFTARG = box, RIGHTARG = box, FUNCTION = area_equal_function, COMMUTATOR = ===, NEGATOR = !==, RESTRICT = area_restriction_function, JOIN = area_join_function, HASHES, MERGES ); Compatibility CREATE OPERATOR is a PostgreSQL extension. There are no provisions for user-defined operators in the SQL standard. See Also ALTER OPERATOR , CREATE OPERATOR CLASS , DROP OPERATOR 1728"
What does this passage describe?,"pg_dumpall -f filename --file=filename Send output to the specified file. If this is omitted, the standard output is used. -g --globals-only Dump only global objects (roles and tablespaces), no databases. -O --no-owner Do not output commands to set ownership of objects to match the original database. By default, pg_dumpall issues ALTER OWNER or SET SESSION AUTHORIZATION statements to set ownership of created schema elements. These statements will fail when the script is run unless it is started by a superuser (or the same user that owns all of the objects in the script). To make a script that can be restored by any user, but will give that user ownership of all the objects, specify -O. -r --roles-only Dump only roles, no databases or tablespaces. -s --schema-only Dump only the object definitions (schema), not data. -S username --superuser=username Specify the superuser user name to use when disabling triggers. This is relevant only if --dis- able-triggers is used. (Usually, it's better to leave this out, and instead start the resulting script as superuser.) -t --tablespaces-only Dump only tablespaces, no databases or roles. -v --verbose Specifies verbose mode. This will cause pg_dumpall to output start/stop times to the dump file, and progress messages to standard error. Repeating the option causes additional debug-level mes- sages to appear on standard error. The option is also passed down to pg_dump. -V --version Print the pg_dumpall version and exit. -x --no-privileges --no-acl Prevent dumping of access privileges (grant/revoke commands). --binary-upgrade This option is for use by"
What does this passage describe?,"are integer for whole numbers, numeric for possibly fractional numbers, text for character strings, date for dates, time for time-of-day values, and timestamp for values containing both date and time. To create a table, you use the aptly named CREATE TABLE command. In this command you specify at least a name for the new table, the names of the columns and the data type of each column. For example: CREATE TABLE my_first_table ( first_column text, second_column integer ); This creates a table named my_first_table with two columns. The first column is named first_column and has a data type of text; the second column has the name second_column and the type integer . The table and column names follow the identifier syntax explained in Sec- tion 4.1.1 . The type names are usually also identifiers, but there are some exceptions. Note that the column list is comma-separated and surrounded by parentheses. Of course, the previous example was heavily contrived. Normally, you would give names to your tables and columns that convey what kind of data they store. So let's look at a more realistic example: CREATE TABLE products ( product_no integer, name text, 59"
What does this passage describe?,"REINDEX the index is being rebuilt, this method is useful for rebuilding indexes in a production environment. Of course, the extra CPU, memory and I/O load imposed by the index rebuild may slow down other operations. The following steps occur in a concurrent reindex. Each step is run in a separate transaction. If there are multiple indexes to be rebuilt, then each step loops through all the indexes before moving to the next step. 1.A new transient index definition is added to the catalog pg_index . This definition will be used to replace the old index. A SHARE UPDATE EXCLUSIVE lock at session level is taken on the indexes being reindexed as well as their associated tables to prevent any schema modification while processing. 2.A first pass to build the index is done for each new index. Once the index is built, its flag pg_in- dex.indisready is switched to “true” to make it ready for inserts, making it visible to other sessions once the transaction that performed the build is finished. This step is done in a separate transaction for each index. 3.Then a second pass is performed to add tuples that were added while the first pass was running. This step is also done in a separate transaction for each index. 4.All the constraints that refer to the index are changed to refer to the new index definition, and the names of the indexes are changed. At this point, pg_index.indisvalid is switched to “true” for the new index and"
What does this passage describe?,"Server Configuration hash_mem_multiplier (floating point ) Used to compute the maximum amount of memory that hash-based operations can use. The final limit is determined by multiplying work_mem by hash_mem_multiplier . The default value is 2.0, which makes hash-based operations use twice the usual work_mem base amount. Consider increasing hash_mem_multiplier in environments where spilling by query oper- ations is a regular occurrence, especially when simply increasing work_mem results in memory pressure (memory pressure typically takes the form of intermittent out of memory errors). The default setting of 2.0 is often effective with mixed workloads. Higher settings in the range of 2.0 - 8.0 or more may be effective in environments where work_mem has already been increased to 40MB or more. maintenance_work_mem (integer ) Specifies the maximum amount of memory to be used by maintenance operations, such as VAC- UUM, CREATE INDEX , and ALTER TABLE ADD FOREIGN KEY . If this value is specified without units, it is taken as kilobytes. It defaults to 64 megabytes ( 64MB). Since only one of these operations can be executed at a time by a database session, and an installation normally doesn't have many of them running concurrently, it's safe to set this value significantly larger than work_mem . Larger settings might improve performance for vacuuming and for restoring database dumps. Note that when autovacuum runs, up to autovacuum_max_workers times this memory may be allocated, so be careful not to set the default value too high. It may be useful to control for this"
What does this passage describe?,"inner_consistent function should return either all or none of the nodes as targets for continuing the index search, since they are all equivalent. This may or may not require any special-case code, depending on how much the inner_consistent function normally assumes about the meaning of the nodes. 69.5. Examples The PostgreSQL source distribution includes several examples of index operator classes for SP- GiST, as described in Table 69.1 . Look into src/backend/access/spgist/ and src/back- end/utils/adt/ to see the code. 2499"
What does this passage describe?,"zero) data bytea Actual data stored in the large object. This will never be more than LOBLKSIZE bytes and might be less. Each row of pg_largeobject holds data for one page of a large object, beginning at byte offset (pageno * LOBLKSIZE ) within the object. The implementation allows sparse storage: pages might be missing, and might be shorter than LOBLKSIZE bytes even if they are not the last page of the object. Missing regions within a large object read as zeroes. 53.31. pg_largeobject_metadata The catalog pg_largeobject_metadata holds metadata associated with large objects. The ac- tual large object data is stored in pg_largeobject . Table 53.31. pg_largeobject_metadata Columns Column Type Description oid oid Row identifier lomowner oid (references pg_authid .oid) Owner of the large object lomacl aclitem[] Access privileges; see Section 5.7 for details 2278"
What does this passage describe?,is not necessary to implement this function for access methods which do not support parallel scans or in cases where the shared memory space required needs no initialization. void 2451
What does this passage describe?,"DROP TABLESPACE DROP TABLESPACE — remove a tablespace Synopsis DROP TABLESPACE [ IF EXISTS ] name Description DROP TABLESPACE removes a tablespace from the system. A tablespace can only be dropped by its owner or a superuser. The tablespace must be empty of all database objects before it can be dropped. It is possible that objects in other databases might still reside in the tablespace even if no objects in the current database are using the tablespace. Also, if the tablespace is listed in the temp_tablespaces setting of any active session, the DROP might fail due to temporary files residing in the tablespace. Parameters IF EXISTS Do not throw an error if the tablespace does not exist. A notice is issued in this case. name The name of a tablespace. Notes DROP TABLESPACE cannot be executed inside a transaction block. Examples To remove tablespace mystuff from the system: DROP TABLESPACE mystuff; Compatibility DROP TABLESPACE is a PostgreSQL extension. See Also CREATE TABLESPACE , ALTER TABLESPACE 1886"
What does this passage describe?,"PL/pgSQL — SQL Procedural Language The mutable nature of record variables presents another problem in this connection. When fields of a record variable are used in expressions or statements, the data types of the fields must not change from one call of the function to the next, since each expression will be analyzed using the data type that is present when the expression is first reached. EXECUTE can be used to get around this problem when necessary. If the same function is used as a trigger for more than one table, PL/pgSQL prepares and caches statements independently for each such table — that is, there is a cache for each trigger function and table combination, not just for each function. This alleviates some of the problems with varying data types; for instance, a trigger function will be able to work successfully with a column named key even if it happens to have different types in different tables. Likewise, functions having polymorphic argument types have a separate statement cache for each combination of actual argument types they have been invoked for, so that data type differences do not cause unexpected failures. Statement caching can sometimes have surprising effects on the interpretation of time-sensitive values. For example there is a difference between what these two functions do: CREATE FUNCTION logfunc1(logtxt text) RETURNS void AS $$ BEGIN INSERT INTO logtable VALUES (logtxt, 'now'); END; $$ LANGUAGE plpgsql; and: CREATE FUNCTION logfunc2(logtxt text) RETURNS void AS $$ DECLARE curtime timestamp; BEGIN curtime := 'now';"
What does this passage describe?,"However, unless a module is specifically designed to be used in this way by non-superusers, this is usually not the right setting to use. Look at session_preload_libraries instead. session_preload_libraries (string) This variable specifies one or more shared libraries that are to be preloaded at connection start. It contains a comma-separated list of library names, where each name is interpreted as for the LOAD command. Whitespace between entries is ignored; surround a library name with double quotes if you need to include whitespace or commas in the name. The parameter value only takes effect at the start of the connection. Subsequent changes have no effect. If a specified library is not found, the connection attempt will fail. Only superusers and users with the appropriate SET privilege can change this setting. The intent of this feature is to allow debugging or performance-measurement libraries to be loaded into specific sessions without an explicit LOAD command being given. For example, auto_explain could be enabled for all sessions under a given user name by setting this parameter with ALTER ROLE SET . Also, this parameter can be changed without restarting the server (but changes only 672"
